STONE (STONE): [0, 0]
GRANITE (STONE:1): [1, 0]
POLISHED_GRANITE (STONE:2): [2, 0]
DIORITE (STONE:3): [3, 0]
POLISHED_DIORITE (STONE:4): [4, 0]
ANDESITE (STONE:5): [5, 0]
POLISHED_ANDESITE (STONE:6): [6, 0]
GRASS_BLOCK (GRASS): [7, 0]
DIRT (DIRT): [8, 0]
COARSE_DIRT (DIRT:1): [9, 0]
PODZOL (DIRT:2): [10, 0]
COBBLESTONE (COBBLESTONE): [11, 0]
OAK_WOOD_PLANKS (PLANKS): [12, 0]
SPRUCE_WOOD_PLANKS (PLANKS:1): [13, 0]
BIRCH_WOOD_PLANKS (PLANKS:2): [14, 0]
JUNGLE_WOOD_PLANKS (PLANKS:3): [15, 0]
ACACIA_WOOD_PLANKS (PLANKS:4): [16, 0]
DARK_OAK_WOOD_PLANKS (PLANKS:5): [17, 0]
OAK_SAPLING (SAPLING): [18, 0]
SPRUCE_SAPLING (SAPLING:1): [19, 0]
BIRCH_SAPLING (SAPLING:2): [20, 0]
JUNGLE_SAPLING (SAPLING:3): [21, 0]
ACACIA_SAPLING (SAPLING:4): [22, 0]
DARK_OAK_SAPLING (SAPLING:5): [23, 0]
BEDROCK (BEDROCK): [24, 0]
SAND (SAND): [25, 0]
RED_SAND (SAND:1): [26, 0]
GRAVEL (GRAVEL): [27, 0]
GOLD_ORE (GOLD_ORE): [28, 0]
IRON_ORE (IRON_ORE): [29, 0]
COAL_ORE (COAL_ORE): [30, 0]
OAK_WOOD (LOG): [31, 0]
SPRUCE_WOOD (LOG:1): [0, 1]
BIRCH_WOOD (LOG:2): [1, 1]
JUNGLE_WOOD (LOG:3): [2, 1]
OAK_LEAVES (LEAVES): [3, 1]
SPRUCE_LEAVES (LEAVES:1): [4, 1]
BIRCH_LEAVES (LEAVES:2): [5, 1]
JUNGLE_LEAVES (LEAVES:3): [6, 1]
SPONGE (SPONGE): [7, 1]
WET_SPONGE (SPONGE:1): [8, 1]
GLASS (GLASS): [9, 1]
LAPIS_LAZULI_ORE (LAPIS_ORE): [10, 1]
LAPIS_LAZULI_BLOCK (LAPIS_BLOCK): [11, 1]
DISPENSER (DISPENSER): [12, 1]
SANDSTONE (SANDSTONE): [13, 1]
CHISELED_SANDSTONE (SANDSTONE:1): [14, 1]
SMOOTH_SANDSTONE (SANDSTONE:2): [15, 1]
NOTE_BLOCK (NOTEBLOCK): [16, 1]
POWERED_RAIL (GOLDEN_RAIL): [17, 1]
DETECTOR_RAIL (DETECTOR_RAIL): [18, 1]
STICKY_PISTON (STICKY_PISTON): [19, 1]
COBWEB (WEB): [20, 1]
GRASS (TALLGRASS:1): [21, 1]
FERN (TALLGRASS:2): [22, 1]
DEAD_BUSH (DEADBUSH): [23, 1]
PISTON (PISTON): [24, 1]
WOOL (WOOL): [25, 1]
ORANGE_WOOL (WOOL:1): [26, 1]
MAGENTA_WOOL (WOOL:2): [27, 1]
LIGHT_BLUE_WOOL (WOOL:3): [28, 1]
YELLOW_WOOL (WOOL:4): [29, 1]
LIME_WOOL (WOOL:5): [30, 1]
PINK_WOOL (WOOL:6): [31, 1]
GRAY_WOOL (WOOL:7): [0, 2]
LIGHT_GRAY_WOOL (WOOL:8): [1, 2]
CYAN_WOOL (WOOL:9): [2, 2]
PURPLE_WOOL (WOOL:10): [3, 2]
BLUE_WOOL (WOOL:11): [4, 2]
BROWN_WOOL (WOOL:12): [5, 2]
GREEN_WOOL (WOOL:13): [6, 2]
RED_WOOL (WOOL:14): [7, 2]
BLACK_WOOL (WOOL:15): [8, 2]
DANDELION (YELLOW_FLOWER): [9, 2]
POPPY (RED_FLOWER): [10, 2]
BLUE_ORCHID (RED_FLOWER:1): [11, 2]
ALLIUM (RED_FLOWER:2): [12, 2]
AZURE_BLUET (RED_FLOWER:3): [13, 2]
RED_TULIP (RED_FLOWER:4): [14, 2]
ORANGE_TULIP (RED_FLOWER:5): [15, 2]
WHITE_TULIP (RED_FLOWER:6): [16, 2]
PINK_TULIP (RED_FLOWER:7): [17, 2]
OXEYE_DAISY (RED_FLOWER:8): [18, 2]
MUSHROOM (BROWN_MUSHROOM): [19, 2]
MUSHROOM (RED_MUSHROOM): [20, 2]
BLOCK_OF_GOLD (GOLD_BLOCK): [21, 2]
BLOCK_OF_IRON (IRON_BLOCK): [22, 2]
STONE_SLAB (STONE_SLAB): [23, 2]
SANDSTONE_SLAB (STONE_SLAB:1): [24, 2]
COBBLESTONE_SLAB (STONE_SLAB:3): [25, 2]
BRICKS_SLAB (STONE_SLAB:4): [26, 2]
STONE_BRICKS_SLAB (STONE_SLAB:5): [27, 2]
NETHER_BRICK_SLAB (STONE_SLAB:6): [28, 2]
QUARTZ_SLAB (STONE_SLAB:7): [29, 2]
BRICKS (BRICK_BLOCK): [30, 2]
TNT (TNT): [31, 2]
BOOKSHELF (BOOKSHELF): [0, 3]
MOSS_STONE (MOSSY_COBBLESTONE): [1, 3]
OBSIDIAN (OBSIDIAN): [2, 3]
TORCH (TORCH): [3, 3]
MONSTER_SPAWNER (MOB_SPAWNER): [4, 3]
OAK_WOOD_STAIRS (OAK_STAIRS): [5, 3]
CHEST (CHEST): [6, 3]
DIAMOND_ORE (DIAMOND_ORE): [7, 3]
BLOCK_OF_DIAMOND (DIAMOND_BLOCK): [8, 3]
CRAFTING_TABLE (CRAFTING_TABLE): [9, 3]
FURNACE (FURNACE): [10, 3]
LADDER (LADDER): [11, 3]
RAIL (RAIL): [12, 3]
COBBLESTONE_STAIRS (STONE_STAIRS): [13, 3]
LEVER (LEVER): [14, 3]
STONE_PRESSURE_PLATE (STONE_PRESSURE_PLATE): [15, 3]
WOODEN_PRESSURE_PLATE (WOODEN_PRESSURE_PLATE): [16, 3]
REDSTONE_ORE (REDSTONE_ORE): [17, 3]
REDSTONE_TORCH (REDSTONE_TORCH): [18, 3]
BUTTON (STONE_BUTTON): [19, 3]
SNOW (SNOW_LAYER): [20, 3]
ICE (ICE): [21, 3]
SNOW (SNOW): [22, 3]
CACTUS (CACTUS): [23, 3]
CLAY (CLAY): [24, 3]
JUKEBOX (JUKEBOX): [25, 3]
OAK_FENCE (FENCE): [26, 3]
PUMPKIN (PUMPKIN): [27, 3]
NETHERRACK (NETHERRACK): [28, 3]
SOUL_SAND (SOUL_SAND): [29, 3]
GLOWSTONE (GLOWSTONE): [30, 3]
JACK_O'LANTERN (LIT_PUMPKIN): [31, 3]
WHITE_STAINED_GLASS (STAINED_GLASS): [0, 4]
ORANGE_STAINED_GLASS (STAINED_GLASS:1): [1, 4]
MAGENTA_STAINED_GLASS (STAINED_GLASS:2): [2, 4]
LIGHT_BLUE_STAINED_GLASS (STAINED_GLASS:3): [3, 4]
YELLOW_STAINED_GLASS (STAINED_GLASS:4): [4, 4]
LIME_STAINED_GLASS (STAINED_GLASS:5): [5, 4]
PINK_STAINED_GLASS (STAINED_GLASS:6): [6, 4]
GRAY_STAINED_GLASS (STAINED_GLASS:7): [7, 4]
LIGHT_GRAY_STAINED_GLASS (STAINED_GLASS:8): [8, 4]
CYAN_STAINED_GLASS (STAINED_GLASS:9): [9, 4]
PURPLE_STAINED_GLASS (STAINED_GLASS:10): [10, 4]
BLUE_STAINED_GLASS (STAINED_GLASS:11): [11, 4]
BROWN_STAINED_GLASS (STAINED_GLASS:12): [12, 4]
GREEN_STAINED_GLASS (STAINED_GLASS:13): [13, 4]
RED_STAINED_GLASS (STAINED_GLASS:14): [14, 4]
BLACK_STAINED_GLASS (STAINED_GLASS:15): [15, 4]
WOODEN_TRAPDOOR (TRAPDOOR): [16, 4]
STONE_MONSTER_EGG (MONSTER_EGG): [17, 4]
COBBLESTONE_MONSTER_EGG (MONSTER_EGG:1): [18, 4]
STONE_BRICK_MONSTER_EGG (MONSTER_EGG:2): [19, 4]
MOSSY_STONE_BRICK_MONSTER_EGG (MONSTER_EGG:3): [20, 4]
CRACKED_STONE_BRICK_MONSTER_EGG (MONSTER_EGG:4): [21, 4]
CHISELED_STONE_BRICK_MONSTER_EGG (MONSTER_EGG:5): [22, 4]
STONE_BRICKS (STONEBRICK): [23, 4]
MOSSY_STONE_BRICKS (STONEBRICK:1): [24, 4]
CRACKED_STONE_BRICKS (STONEBRICK:2): [25, 4]
CHISELED_STONE_BRICKS (STONEBRICK:3): [26, 4]
MUSHROOM (BROWN_MUSHROOM_BLOCK): [27, 4]
MUSHROOM (RED_MUSHROOM_BLOCK): [28, 4]
IRON_BARS (IRON_BARS): [29, 4]
GLASS_PANE (GLASS_PANE): [30, 4]
MELON (MELON_BLOCK): [31, 4]
VINES (VINE): [0, 5]
OAK_FENCE_GATE (FENCE_GATE): [1, 5]
BRICK_STAIRS (BRICK_STAIRS): [2, 5]
STONE_BRICK_STAIRS (STONE_BRICK_STAIRS): [3, 5]
MYCELIUM (MYCELIUM): [4, 5]
LILY_PAD (WATERLILY): [5, 5]
NETHER_BRICK (NETHER_BRICK): [6, 5]
NETHER_BRICK_FENCE (NETHER_BRICK_FENCE): [7, 5]
NETHER_BRICK_STAIRS (NETHER_BRICK_STAIRS): [8, 5]
ENCHANTMENT_TABLE (ENCHANTING_TABLE): [9, 5]
END_PORTAL (END_PORTAL_FRAME): [10, 5]
END_STONE (END_STONE): [11, 5]
DRAGON_EGG (DRAGON_EGG): [12, 5]
REDSTONE_LAMP (REDSTONE_LAMP): [13, 5]
OAK_WOOD_SLAB (WOODEN_SLAB): [14, 5]
SPRUCE_WOOD_SLAB (WOODEN_SLAB:1): [15, 5]
BIRCH_WOOD_SLAB (WOODEN_SLAB:2): [16, 5]
JUNGLE_WOOD_SLAB (WOODEN_SLAB:3): [17, 5]
ACACIA_WOOD_SLAB (WOODEN_SLAB:4): [18, 5]
DARK_OAK_WOOD_SLAB (WOODEN_SLAB:5): [19, 5]
SANDSTONE_STAIRS (SANDSTONE_STAIRS): [20, 5]
EMERALD_ORE (EMERALD_ORE): [21, 5]
ENDER_CHEST (ENDER_CHEST): [22, 5]
TRIPWIRE_HOOK (TRIPWIRE_HOOK): [23, 5]
BLOCK_OF_EMERALD (EMERALD_BLOCK): [24, 5]
SPRUCE_WOOD_STAIRS (SPRUCE_STAIRS): [25, 5]
BIRCH_WOOD_STAIRS (BIRCH_STAIRS): [26, 5]
JUNGLE_WOOD_STAIRS (JUNGLE_STAIRS): [27, 5]
COMMAND_BLOCK (COMMAND_BLOCK): [28, 5]
BEACON (BEACON): [29, 5]
COBBLESTONE_WALL (COBBLESTONE_WALL): [30, 5]
MOSSY_COBBLESTONE_WALL (COBBLESTONE_WALL:1): [31, 5]
BUTTON (WOODEN_BUTTON): [0, 6]
ANVIL (ANVIL): [1, 6]
SLIGHTLY_DAMAGED_ANVIL (ANVIL:1): [2, 6]
VERY_DAMAGED_ANVIL (ANVIL:2): [3, 6]
TRAPPED_CHEST (TRAPPED_CHEST): [4, 6]
WEIGHTED_PRESSURE_PLATE_(LIGHT) (LIGHT_WEIGHTED_PRESSURE_PLATE): [5, 6]
WEIGHTED_PRESSURE_PLATE_(HEAVY) (HEAVY_WEIGHTED_PRESSURE_PLATE): [6, 6]
DAYLIGHT_SENSOR (DAYLIGHT_DETECTOR): [7, 6]
BLOCK_OF_REDSTONE (REDSTONE_BLOCK): [8, 6]
NETHER_QUARTZ_ORE (QUARTZ_ORE): [9, 6]
HOPPER (HOPPER): [10, 6]
BLOCK_OF_QUARTZ (QUARTZ_BLOCK): [11, 6]
CHISELED_QUARTZ_BLOCK (QUARTZ_BLOCK:1): [12, 6]
PILLAR_QUARTZ_BLOCK (QUARTZ_BLOCK:2): [13, 6]
QUARTZ_STAIRS (QUARTZ_STAIRS): [14, 6]
ACTIVATOR_RAIL (ACTIVATOR_RAIL): [15, 6]
DROPPER (DROPPER): [16, 6]
WHITE_STAINED_CLAY (STAINED_HARDENED_CLAY): [17, 6]
ORANGE_STAINED_CLAY (STAINED_HARDENED_CLAY:1): [18, 6]
